name,pulse count,energy,pressure,temp,thickness,notes
XL055,10200,240,70,751,8.3,YHO wrong energy
XL097,13764,150,70,723,9.37,YHO wrong energy
XL111,7050,150,70,732,9.8,YHO wrong energy
XL140,14000,150,70,730,9.4,YHO wrong energy
XL168,7000,150,70,724,10,YHO wrong energy
XL348,10600,195,70,726,8.8,YHO 10.05.23 slide 4
XL349,10600,195,70,726,9.1,YHO 10.05.23 slide 4
XL350,10600,195,70,726,9,YHO 10.05.23 slide 4
XL351,10600,195,70,726,9.2,YHO 10.05.23 slide 4
XL360,6023,195,70,724,9.2,YHO 10.05.23 slide 4
XL361,3012,195,70,724,5.2,YHO 10.05.23 slide 5
XL362,1510,195,70,730,2.4,YHO 10.05.23 slide 5
XL363,2265,195,70,729,3.7,YHO 10.05.23 slide 5
XL364,3780,195,70,728,6.5,YHO 10.05.23 slide 5
XL365,4740,195,70,728,7.8,YHO 10.05.23 slide 5
XL366,2520,195,70,729,4.4,YHO 10.05.23 slide 5
XL367,1890,195,70,730,2.9,YHO 10.05.23 slide 5
XL368,1290,195,70,729,1.9,YHO 10.05.23 slide 5
XL371,2320,195,70,729,3.3,YHO 10.05.23 slide 5
XL377,6666,195,70,725,10.5,YHO Al2O3 Interlayer
XL380,6360,195,70,727,9.7,YHO Al2O3 Interlayer
XL381,6360,195,70,726,10.4,YHO Al2O3 Interlayer
XL382,6330,195,70,726,10.4,YHO Al2O3 Interlayer
XL308,6000,195,70,726,10,YHO outlier
XL311,4200,195,70,726,7,YHO outlier
XL431,4250,195,30,726,6.3,ZHO outlier  (30 mTorr)
XL625,3000,195,1,725,4.8,ZHO outlier  (1 mTorr)
XL641,1100,144,1,727,5.5,ZHO outlier  (1 mTorr)
XL468,1750,195,0.01,725,6.6,ZHO outlier  (0.01 mTorr)
XL277,1000,195,70,724,2.5,"YHO ""clean"""
XL278,800,195,70,725,1.8,"YHO ""clean"""
XL297,1305,195,70,725,3,"YHO ""clean"""
XL300,2200,195,70,727,2.3,"YHO ""clean"""
XL301,5000,195,70,725,5.3,"YHO ""clean"""
XL312,2100,195,70,724,3,"YHO ""clean"""
XL321,6000,195,70,726,6.7,"YHO ""clean"""
XL322,6000,195,70,731,6.7,"YHO ""clean"""
XL323,6000,195,70,731,6,"YHO ""clean"""
XL326,3500,195,70,731,3.6,"YHO ""clean"""
XL327,9850,195,70,731,8.9,"YHO ""clean"""
XL330,5600,195,70,723,4.9,"YHO ""clean"""
XL391,3900,195,70,728,6.2,ZHO (70 mTorr)
XL397,7600,195,70,726,7.7,ZHO (70 mTorr)
XL400,2660,195,70,736,3.3,ZHO (70 mTorr)
XL401,1900,195,70,736,2.7,ZHO (70 mTorr)
XL405,6800,195,70,727,7.5,ZHO (70 mTorr)
XL406,5400,195,70,727,5.9,ZHO (70 mTorr)
XL410,4200,195,70,725,5.6,ZHO (70 mTorr)
XL411,2800,195,70,727,3.9,ZHO (70 mTorr)
XL412,2130,195,70,726,2.6,ZHO (70 mTorr)
XL413,1704,195,70,727,2,ZHO (70 mTorr)
XL414,3850,195,70,728,5,ZHO (70 mTorr)
XL415,5215,195,70,727,5.8,ZHO (70 mTorr)
XL416,7300,195,70,727,8.3,ZHO (70 mTorr)
XL417,6600,195,70,726,7.2,ZHO (70 mTorr)
XL418,3650,195,70,726,4,ZHO (70 mTorr)
XL432,2000,195,30,725,4.3,ZHO (30 mTorr)
XL433,1700,195,30,725,3.4,ZHO (30 mTorr)
XL434,1000,195,30,725,2.7,ZHO (30 mTorr)
XL502,1600,195,1,725,3.6,ZHO (1 mTorr)
XL503,800,195,1,727,1.8,ZHO (1 mTorr)
XL505,600,195,1,727,1.4,ZHO (1 mTorr)
XL529,800,195,1,725,2.1,ZHO (1 mTorr)
XL530,500,195,1,731,1.2,ZHO (1 mTorr)
XL531,1000,195,1,726,2.5,ZHO (1 mTorr)
XL532,1250,195,1,725,3.1,ZHO (1 mTorr)
XL533,1450,195,1,727,3.6,ZHO (1 mTorr)
XL541,1200,195,1,725,3.7,ZHO (1 mTorr)
XL542,1000,195,1,723,3,ZHO (1 mTorr)
XL544,600,195,1,725,1.8,ZHO (1 mTorr)
XL545,1500,195,1,724,4.6,ZHO (1 mTorr)
XL553,2000,160,1,725,4.5,ZHO (1 mTorr)
XL554,1580,160,1,726,3.3,ZHO (1 mTorr)
XL555,1300,160,1,725,2.7,ZHO (1 mTorr)
XL598,792,195,1,725,1.8,ZHO (1 mTorr)
XL629,1000,195,1,728,1.44,ZHO (1 mTorr)
XL460,1500,195,0.01,728,4.3,ZHO (0.01 mTorr)
XL461,1000,195,0.01,726,2.9,ZHO (0.01 mTorr)
XL462,800,195,0.01,728,2.3,ZHO (0.01 mTorr)
